model_input,pred_correct,expected_if,predicted_if,pred_score
"tensor([[    1,   822,  3349, 29918,  3149, 29898,  1311, 29892,   931,  1125,
            13,  1678,  9995, 15941,   263,  1298, 29892,   565,   694,  1298,
           338,  1476,  3078,  5930, 29889,    13,    13,  4706,   584,  3207,
           938,   931, 29901,  5974,   310,   278,  1298, 29889,    13,  4706,
           584,   336,  4637, 29088,  1542,  2451, 29901,   960,   278, 26485,
           338,   451,   263,  3992, 29911,   631, 29889,    13,  4706,  9995,
            13,  1678,   565, 12801,  1529, 16033, 29958,  2396,    13,  4706,
         12020,  8960,   877, 29911,   631,  1853,  1818,   367,  3992, 29911,
           631, 29889,  1495,    13,  1678,  1583, 29889, 19207, 29879,   353,
           518, 29875,   363,   474,   297,  1583, 29889, 19207, 29879,   565,
           474, 29961, 29900, 29962,  2804,   931, 29962]])",False,"[""self.tier_type != 'TextTier'""]",___________________,0.0
"tensor([[    1,   822,  9659, 29918,  8921,  2133, 29918,  3827, 29898,  1311,
          1125,    13,  1678,  9995, 10401, 21691,  9659,   278, 28733,  1213,
         15945,    13,  1678,  1923,   353,  1583, 29889,  2974,    13,  1678,
          6874,   353,  2009, 29889,  5975, 29889,   657,   877,  6078,  1495,
           470,  6629,    13,  1678, 16505,   267,   353,  6874, 29889,  5451,
           580,    13,  1678, 16140,   353,  9657, 29898,  4645, 29918,   333,
         29922,  3827, 29889,  5975, 29889,   657,   877,  4645, 29918,   333,
          5477,  6684, 29918,  5338, 29922,  3827, 29889,  5975, 29889,   657,
           877, 17886, 29918,  5338,   742,  6213,   511,  2933, 29918,  1853,
         29922,  3827, 29889,  5975, 29889,   657,   877,  5327, 29918,  1853,
           742,  6213,   511,  2106, 29922,  3827, 29889,  5975, 29889,   657,
           877,  3859,   742,  6213,   876,    13,  1678,  1480, 29889,  8382,
           877, 20927,   287, 16140,   515,  2009,  1273, 29878, 29889,   742,
         16140, 29897,    13,  1678,  6684, 29918,  5338,   353, 16140, 29889,
           657,   877, 17886, 29918,  5338,  1495,    13,  1678,  1480, 29889,
          8382,   877,  9692,  6684, 29918,  5338,  1273, 29879, 29889,   742,
          6684, 29918,  5338, 29897,    13,  1678, 21333, 29892,  1732, 29918,
          5696, 29892,  3573, 29892,  9066,   353,  6597, 29918,  7529,   580,
            13,  1678,  1018, 29901,    13,  4706,  3240,   353,  1923, 29889,
          3258, 29918,  8921,  2133, 29918,  5327, 29898,  5338, 29892,  1732,
         29918,  5696, 29892,  3573, 29892,  9066, 29892, 16505,   267, 29892,
         16140, 29897,    13,  4706,  1480, 29889,  8382,   877, 25471,  9150,
         29889,  1495,    13,  4706,   736,  1653, 29918,  5327, 10456,  2267,
         29897,    13,  1678,  5174,   288,  5150, 29906, 29889, 29943,  2075,
          4032,  2392,   408,   321, 29901,    13,  4706,  1480, 29889,  8382,
           877, 29943,  2075,  3132,  1059,  1273, 29878,   742,   321, 29892,
          5566, 29918,  3888, 29922,  5574, 29897,    13,  4706,   736,  1583,
          3032,   265, 29918, 11739, 29898, 29872, 29892,   321, 29889,   262,
         29918,  5338, 29898,  1311, 29889,  2704, 29918,  5338,   876,    13,
          1678,  5174,   288,  5150, 29906, 29889, 29949,  6444, 29906,  2392,
           408,   321, 29901,    13,  4706,  1480, 29889,  8382,   877, 29949,
          6444, 29906,  2392, 29901,  1273, 29878,   742,   321, 29892,  5566,
         29918,  3888, 29922,  5574, 29897,    13,  4706,  2106,   353,  2009,
         29889,  5975, 29889,   657,   877,  3859,  1495,    13,  4706,   565,
         12801,  1529, 16033, 29958,  2396,    13,  9651,   321, 29889,  3859,
           353,  2106,    13,  4706,   736,  1583,  3032,   265, 29918, 11739,
         29898, 29872, 29892,   321, 29889,   262, 29918,  5338, 29898, 17886,
         29918,  5338,   470,  1583, 29889,  2704, 29918,  5338,   876,    13,
          1678,  5174,  8960,   408,   321, 29901,    13,  4706,  1480, 29889,
         11739, 29898, 29872, 29897,    13,  4706,   736,  1583,  3032,   265,
         29918, 11739, 29898, 29872, 29892,   788, 29918,  7529, 29918,   517,
         29918,  5338, 29898,  1311, 29889,  2704, 29918,  5338, 29892, 11117,
          2704,  2396,   851, 29898, 29872,  2915,   876]])",False,['state and (not e.state)'],___________________,0.0
"tensor([[    1,   822,   679,  1349,   292, 29898,  1311, 29892,  2655,  1542,
          1204, 29892,  2655,  1204,  1125,    13,  1678,  9995,    13,  4706,
           402,  1691,  2655,  4902, 29889,    13,  4706,   739, 21486,  2655,
          1542,  1204,   313,  1807,   511,  2655,  1204,   313,  1807, 29897,
            13,  4706,   512,  1206,   310, 10672,   372,  8026,  3450,  2451,
            13,  4706,  9995,    13,  1678,  2655,  5983,   353, 29749,  4032,
         29889,  1918,  5983,  1273,   313,  1311, 29889,  3069, 29892,  2655,
          1542,  1204, 29892,  2655,  1204, 29897,    13,  1678,   364,   353,
          7274, 29889,   657, 29898,  1918,  5983, 29892,  4817, 29922,  1311,
         29889, 11944,  9409, 29892, 11539, 29922,  1311, 29889, 27902, 29897,
            13,  1678,  4660,   353,   364, 29889,  4882, 29918,   401,    13,
          1678,   565, 12801,  1529, 16033, 29958,  2396,    13,  4706,  1583,
         29889, 21707, 29889,  8382,   877,  1349,   292,  2777,   471,  8472,
         27387,  1495,    13,  4706,   736,   364, 29889,  3126,   580,    13,
          1678, 25342, 12801,  1529, 16033, 29958,  2396,    13,  4706, 12020,
           474, 29890,  2460,   327, 29888, 29889,  8787,  2451, 29898, 29941,
         29900, 29946, 29892,   525,  1576,  2106,   310,   278,  2655,   756,
           451,  1063,  9120,   313,  5327,   304,   263, 15047, 12354,   467,
           742,  6213, 29897,    13,  1678, 25342, 12801,  1529, 16033, 29958,
          2396,    13,  4706, 12020,   474, 29890,  2460,   327, 29888, 29889,
          8787,  2451, 29898, 29946, 29900, 29896, 29892,   525,  1576, 10760,
          5993,   338,  4069,   470,  8340,   742,  6213, 29897,    13,  1678,
         25342, 12801,  1529, 16033, 29958,  2396,    13,  4706, 12020,   474,
         29890,  2460,   327, 29888, 29889,  8787,  2451, 29898, 29946, 29900,
         29941, 29892,   525,  1576, 10760,  1158,   338,  8340,   470,   278,
          7882,  1820,  1304,   947,   451,  1863,   742,  6213, 29897,    13,
          1678, 25342, 12801,  1529, 16033, 29958,  2396,    13,  4706, 12020,
           474, 29890,  2460,   327, 29888, 29889,  8787,  2451, 29898, 29946,
         29900, 29946, 29892,   525, 29909,  2655,  1134,   411,   278,  6790,
          1178, 29892,   470,   263,  2655,   411,   278,  6790,  1178, 29892,
           947,   451,  1863, 29889,   742,  6213, 29897,    13,  1678, 25342,
         12801,  1529, 16033, 29958,  2396,    13,  4706, 12020,   474, 29890,
          2460,   327, 29888, 29889,  8787,  2451, 29898, 29945, 29900, 29900,
         29892,   525, 29965, 13996,  6021,  1059,   742,  6213, 29897,    13,
          1678,  1683, 29901,    13,  4706, 12020,   474, 29890,  2460,   327,
         29888, 29889,  8787,  2451, 29898,  8516, 29892,   525, 29965, 13996,
          6021,  1059,   742,  6213, 29897]])",False,"['status == 200', 'status == 304', 'status == 401', 'status == 403', 'status == 404', 'status == 500']",___________________,0.0
"tensor([[    1,   822,   903,  6312, 29918,  3179,  1847, 29898, 19290,  1125,
            13,  1678,  9995,   624,  5708,  2734,   263,  9521,  7834,   322,
         10017,   263,  1480,   934,   363,   278,  9521,  1213, 15945,    13,
          1678,   903, 17591, 29918, 21027, 29898, 19290, 29892,  6597, 29922,
          8824, 29897,    13,  1678,  7834,   353,  9049,  5085,  1839, 13789,
          2033,    13,  1678, 17659,  1319, 29918, 13322,   353,  9049,  5085,
          1839,  3874,   346,  1319, 29918, 13322,  2033,    13,  1678,   565,
         12801,  1529, 16033, 29958,  2396,    13,  4706,  4365,   524, 29918,
          3179,  1847, 29889,  2962,   580,    13,  1678,  7834, 29889,  3389,
           580]])",False,['graceful_exit'],___________________,0.0
"tensor([[    1,   822,   679, 29918,  2619, 29898,  1311, 29892,   515, 29918,
          1256,  1125,    13,  1678,  9995,  8015, 29878,  2418,   599,   278,
          5155,   515,   263,  2183,  2635, 29889,    13,    13,  4706,   584,
          3207,   515, 29918,  1256, 29901,  4017,  5155,  4784,  1951,   445,
          2635,    13,  4706,  9995,    13,  1678,  1813,   353, 29871, 29896,
            13,  1678,  3142,   353, 21333,  7122, 29898,  1311, 29889,  3188,
         29918,  2271, 29892,  1583, 29889, 16358, 29918,  8787, 29892,   525,
          2619,  1495,    13,  1678, 12428,   353,  1583, 29889,  9155, 29898,
          2271, 29892, 20092, 29922,  1311, 17255,  4282, 29918, 23813, 29898,
          3488, 29892,   515, 29918,  1256,   876,    13,  1678,  5155,   353,
         12428, 29889,   726,    13,  1678,   848,   353, 12428, 29889,  3126,
           580,    13,  1678,   260,  2619,   353,   848,  1839,  7827,  2033,
            13,  1678,   302,  2619,   353,   848,  1839,  3488, 29918,  2311,
          2033,    13,  1678,  1583, 17255,  1188, 29918,  4882, 29898,  1272,
          1839,   339,  4616, 29918,  1745, 17225,  7464,   848,  1839,   339,
          4616, 29918,  3317,  7464,   302,  2619, 29892,   260,  2619, 29897,
            13,  1678,  1550,  5155, 29901,    13,  4706,  7709,  5155,    13,
          4706,  5155,   353,  6213,    13,  4706,   565, 12801,  1529, 16033,
         29958,  2396,    13,  9651,  1813,  4619, 29871, 29896,    13,  9651,
          1250,  2696,   353,   848, 29889,   657,   877,  1627,  2696,   742,
          6213, 29897,    13,  9651,   565, 12801,  1529, 16033, 29958,  2396,
            13, 18884, 17927, 29889,  8382,   877,  9544,  6270,  2346, 29889,
         20340,  1273, 29879,   409,  2395,   304,  3638,   263,   716,  2009,
           742,  1250,  2696, 29897,    13, 18884,   931, 29889, 17059, 29898,
          7411, 29898,  1627,  2696,   876,    13,  9651, 12428,   353,  1583,
         29889,  9155, 29898,  2271, 29892, 20092, 29922,  1311, 17255,  4282,
         29918, 23813, 29898,  3488, 29892,   515, 29918,  1256,   876,    13,
          9651,   848,   353, 12428, 29889,  3126,   580,    13,  9651,  5155,
           353, 12428, 29889,   726,    13,  9651,   302,  2619,  4619,   848,
          1839,  3488, 29918,  2311,  2033,    13,  9651,  1583, 17255,  1188,
         29918,  4882, 29898,  1272,  1839,   339,  4616, 29918,  1745, 17225,
          7464,   848,  1839,   339,  4616, 29918,  3317,  7464,   302,  2619,
         29892,   260,  2619, 29897]])",False,"[""data['has_more']"", 'backoff']",___________________,0.0
"tensor([[    1,   822,   679, 29918,  1491, 29885,  6847, 29918, 20787, 29918,
         16645,  1860, 29918,  1609, 29918, 29879,   275, 29918,   333, 29898,
          1311, 29892,   338, 29918,  2042, 29892,   269,   275, 29918,   333,
         29892,  8041, 29922,  8516, 29892,  3566,  1860, 29922,  8516, 29892,
          3579,  7529,  1125,    13,  1678,  9995,    13,  4706,  2391, 11834,
          6847,   363,  2999,  3566,  1860,   491,  3236, 29914,  2042,   269,
           275,  1178,   322,    13,  4706,  2984,   635,  8368,    13,    13,
          4706,  2045,   597, 15257, 29889,  2611,  1247,   545, 29889,   510,
         29914,  1514, 29914,  2754, 29914,  1491, 29885,  6847, 29889,  1420,
         29937,  5696, 29889,  1491, 29885,  6847, 29918,  2754, 29889,  1454,
         29918, 18082,  1237,    13,  4706,  9995,    13,  1678,   565, 12801,
          1529, 16033, 29958,  2396,    13,  4706,   736,  1583, 29889,   657,
         29918,  1491, 29885,  6847, 29918, 20787, 29918, 16645,  1860, 29898,
           275, 29918,  2042, 29892,  1583,  3032, 29879,   275, 29918,   333,
         29898, 29879,   275, 29918,   333, 29892,   525,  2042,  5477,  8041,
         29892,  3566,  1860, 29892,  3579,  7529, 29897,    13,  1678,  1683,
         29901,    13,  4706,   736,  1583, 29889,   657, 29918,  1491, 29885,
          6847, 29918, 20787, 29918, 16645,  1860, 29898,   275, 29918,  2042,
         29892,  1583,  3032, 29879,   275, 29918,   333, 29898, 29879,   275,
         29918,   333, 29892,   525, 15775,  5477,  8041, 29892,  3566,  1860,
         29892,  3579,  7529, 29897]])",False,['is_section'],___________________,0.0
"tensor([[    1,   822,  3651, 29898,  1311,  1125,    13,  1678,  9995, 29909,
          1051,   310,   450,  1562,  3651,   363,  6410,  2912,   800,  1213,
         15945,    13,  1678,  1121,   353,  1583, 29889,  2080, 29879,    13,
          1678,  3595,   353,   731,  3552, 29875, 29889,   978,   363,   474,
           297,  1121,   876,    13,  1678,   363,  6410,   297,  1583, 29889,
          6758,   267, 29901,    13,  4706,   363,   325,   297,  6410, 29889,
         20897, 29901,    13,  9651,   565, 12801,  1529, 16033, 29958,  2396,
            13, 18884,  1121, 29889,  4397, 29898, 29894, 29897,    13, 18884,
          3595, 29889,  1202, 29898, 29894, 29889,   978, 29897,    13,  1678,
           736,  1121]])",False,['v.name not in seen'],(((((((((((((((((((,0.0
"tensor([[    1,   822,  6699, 29918,  7076, 29898,  1311, 29892,  7663, 29892,
          3579, 19290,  1125,    13,  1678,  9995, 20927,   278,  7456,    13,
            13,  4706,   584,  3207,  7663, 29901,   278,  7663,   310,  4452,
           304,  6699,    13,  4706,   584,  3207,  9049,  5085, 29901, 14998,
          6273,    13,    13,  4706,   584, 18280, 29901,   263, 15299,   310,
          4452,    13,  4706,  9995,    13,  1678,  9210,   353,  9049,  5085,
          1839, 10289,  2033,    13,  1678, 17927, 29889,  3888,   703, 20927,
           292,  7456,   310, 14210, 29879, 29915,  2318,   373, 14210, 29879,
         29915,  9210,  1273, 29879,   613,  1583, 29889,  2972, 29892,  1583,
         29889,  3069, 29892,   851, 29898, 10289,   876,    13,  1678,   302,
          5708, 29892,   474,  5708, 29892,   260,  5708,   353,   313, 29900,
         29892, 29871, 29900, 29892, 29871, 29900, 29897,    13,  1678, 17117,
         17117,   937, 29892,  1833, 29892,   903,   353,  1583, 29889,  4645,
         29889,  2972, 29898,  1311, 29889,  2972, 29897,    13,  1678,   565,
         12801,  1529, 16033, 29958,  2396,    13,  4706,   937,   353,  4236,
         29898,  4102, 29892,  9210, 29897,    13,  4706, 17117,   975,  1493,
           353,  1583, 29889,  4645, 29889,   957,  3552,  4102, 29892,  1833,
           876,    13,  1678,  1683, 29901,    13,  4706,   975,  1493,   353,
          5159,    13,  1678,   260,  5708,   353,  7431, 29898,   957,  1493,
         29897,    13,  1678, 17927, 29889,  8382,   877, 11536,  1353,   310,
          7456,   304,  6699, 29901,  1273, 29879,   742,   260,  5708, 29897,
            13,  1678,   363,  4274, 29918,   333, 29892,   903,   297,   975,
          1493, 29901,    13,  4706,  1018, 29901,    13,  9651,  4274, 29918,
          1610,   353,  1583, 29889,  4645, 29889,  7914, 29898,  7914, 29918,
           333, 29897,    13,  9651,  4274,   353,  1583, 17255,  5510, 29918,
          7914, 29898,  7914, 29918,  1610, 29897,    13,  4706,  5174, 20969,
          2392, 29901,    13,  9651, 17927, 29889, 27392,   877,  2392, 13755,
          1273, 29879,  4274, 29936, 14993,  3262,   742,  4274, 29918,   333,
         29897,    13,  9651,   474,  5708,  4619, 29871, 29896,    13,  9651,
          6773,    13,  4706,  5174,   302,   593, 29886,  1982, 29889, 10262,
          3557,  5776,  1971,   653,  2392,   408,   321, 29901,    13,  9651,
         17927, 29889, 27392,   703,  2392, 14210, 29879, 29915,  6699,   292,
          4274,  1273, 29879, 29936, 14993,  3262,   613,   321, 29889,  5327,
         29892,  4274, 29918,   333, 29897,    13,  9651,   474,  5708,  4619,
         29871, 29896,    13,  9651,  6773,    13,  4706,  7709,  4274,    13,
          4706,   302,  5708,  4619, 29871, 29896]])",False,['offset <= last'],___________________,0.0
"tensor([[    1,   822,   903,  5675, 29918,  1445,  5415, 29898,  1311,  1125,
            13,  1678,  9995,    13,  4706,  8878,   934,  1203,   515,  4452,
         29889,    13,  4706,  9995,    13,  1678, 17799,   353,  2648,  2167,
          5971,   580,    13,  1678,   285,   353,   330,  7554, 29889, 29954,
          7554,  2283, 29898,  8513,  2433, 29893, 29890,   742,   934,  5415,
         29922, 24840, 29897,   565,  1583, 29889,  1509, 29918, 29887,  7554,
          1683, 17799,    13,  1678,  1518,  9555,   353, 14355, 20261,  2001,
          1252, 18505, 29898, 29888, 29897,    13,  1678,  1518,  9555, 29889,
          2962, 29918, 15843,   292,   580,    13,  1678,   363,  2944,   297,
          1583, 29889,  7076, 29901,    13,  4706,  1518,  9555, 29889, 15843,
         29918,   667, 29898,   667, 29897,    13,  1678,  1518,  9555, 29889,
          4951,   728, 29918, 15843,   292,   580,    13,  1678,   565, 12801,
          1529, 16033, 29958,  2396,    13,  4706,   285, 29889,  5358,   580,
            13,  1678, 17799, 29889,   344,  1416, 29898, 29900, 29897,    13,
          1678,   736, 17799]])",False,['f is not bio'],_((((((((((((((((((,0.0
"tensor([[    1,   822,  4870,  2928, 29888, 29898,   524, 29888, 29892,  5835,
          9170, 18630,  1762, 29922,  4571,  1525,  9838, 29889, 12015, 29892,
         19060, 29922,  8516,  1125,    13,  1678,  9995,    13,  1678, 23924,
          2579,   403,   599, 18470,   304,   697,  4802,  7182, 29892,  8304,
          3598,    13,    13,  1678,   584,  3207,  5835,  9170, 18630,  1762,
         29901,   871, 18470,   411,   445,  5305,   526,  4870,   287,    13,
          1678,   584,  3207, 19060, 29901,  5665,   310, 18470, 29914,  1639,
          8726,   304, 19060,    13,  1678,  9995,    13,  1678,   565, 12801,
          1529, 16033, 29958,  2396,    13,  4706,   565, 12801,  1529, 16033,
         29958,  2396,    13,  9651,   736,   938, 29888,  3032, 18816,    13,
          4706,   736,  6213,    13,  1678,   620,   353,  6213,    13,  1678,
           363,   474,   297,   938, 29888,  3032,  1639,  8726, 29901,    13,
          4706,   565, 12801,  1529, 16033, 29958,  2396,    13,  9651,  6773,
            13,  4706,   565, 12801,  1529, 16033, 29958,  2396,    13,  9651,
           565, 12801,  1529, 16033, 29958,  2396,    13, 18884,   270,   353,
         22471,  1525,  9838, 29889,  9354,   359,   568, 29898,  6207,  9170,
         18630,  1762, 29897,    13,  9651,  1683, 29901,    13, 18884,   270,
           353,  5835,  9170, 18630,  1762,    13,  9651,   269,   353,   474,
          3032,  4058, 29898, 29881, 29892, 19060, 29922,   735,  2325, 29897,
            13,  4706, 25342, 12801,  1529, 16033, 29958,  2396,    13,  9651,
           269,   353,   474,  3032, 18816,    13,  4706,  1683, 29901,    13,
          9651,   269,   353,  6213,    13,  4706,   565, 12801,  1529, 16033,
         29958,  2396,    13,  9651,   565, 12801,  1529, 16033, 29958,  2396,
            13, 18884,   620,   353,   269,    13,  9651,  1683, 29901,    13,
         18884,   620,   353,   620,  3032, 17685, 29898, 29879, 29897,    13,
          1678,   736,   620]])",False,"['not intf._interfaces', 'intf._masterDir == masterDirEqTo', 'exclude is not None and i in exclude', 'i._interfaces', 's is not None', 'i._masterDir == DIRECTION.IN', 'i._masterDir == masterDirEqTo', 'res is None']",___________________,0.0
