model_input,pred_correct,expected_if,predicted_if,pred_score
"def _send_from_command_queue ( self ) : <TAB> <TAB> <TAB> <TAB> while True : <TAB> <TAB> if self . isStreaming ( ) : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> return False <TAB> <TAB> try : <TAB> <TAB> <TAB> entry = self . _command_queue . get ( block = False ) <TAB> <TAB> except queue . Empty : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> return False <TAB> <TAB> try : <TAB> <TAB> <TAB> if isinstance ( entry , tuple ) : <TAB> <TAB> <TAB> <TAB> if not len ( entry ) == 4 : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> <TAB> cmd , cmd_type , callback , tags = entry <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> cmd = entry <TAB> <TAB> <TAB> <TAB> cmd_type = None <TAB> <TAB> <TAB> <TAB> callback = None <TAB> <TAB> <TAB> <TAB> tags = None <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> return True <TAB> <TAB> finally : <TAB> <TAB> <TAB> self . _command_queue . task_done ( )",False,"if self . _sendCommand ( cmd , cmd_type = cmd_type , on_sent = callback , tags = tags ) :",___________________,0.0
"def feed ( self , byte_str , num_bytes ) : <TAB> if self . _done : <TAB> <TAB> return <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> i = self . _need_to_skip_char_num <TAB> while i < num_bytes : <TAB> <TAB> order , char_len = self . get_order ( byte_str [ i : i + 2 ] ) <TAB> <TAB> i += char_len <TAB> <TAB> if i > num_bytes : <TAB> <TAB> <TAB> self . _need_to_skip_char_num = i - num_bytes <TAB> <TAB> <TAB> self . _last_char_order = - 1 <TAB> <TAB> else : <TAB> <TAB> <TAB> if ( order != - 1 ) and ( self . _last_char_order != - 1 ) : <TAB> <TAB> <TAB> <TAB> self . _total_rel += 1 <TAB> <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> <TAB> self . _done = True <TAB> <TAB> <TAB> <TAB> <TAB> break <TAB> <TAB> <TAB> <TAB> self . _rel_sample [ jp2CharContext [ self . _last_char_order ] [ order ] ] += 1 <TAB> <TAB> <TAB> self . _last_char_order = order",False,if self . _total_rel > self . MAX_REL_THRESHOLD :,___________________,0.0
"def readline ( _size = - 1 , prompt = """" , float = True , priority = 10 ) : <TAB> <TAB> <TAB> global buffer_handle , prompt_handle , suggest_handle , eof , show_suggestions <TAB> <TAB> from pwnlib . term import term_mode <TAB> if not term_mode : <TAB> <TAB> six . print_ ( prompt , end = """" , flush = True ) <TAB> <TAB> return getattr ( sys . stdin , ""buffer"" , sys . stdin ) . readline ( _size ) . rstrip ( b""\n"" ) <TAB> show_suggestions = False <TAB> eof = False <TAB> if prompt : <TAB> <TAB> prompt_handle = term . output ( prompt , float = float , priority = priority ) <TAB> else : <TAB> <TAB> prompt_handle = None <TAB> buffer_handle = term . output ( float = float , priority = priority ) <TAB> suggest_handle = None <TAB> clear ( ) <TAB> if startup_hook : <TAB> <TAB> startup_hook ( ) <TAB> try : <TAB> <TAB> while True : <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> <TAB> keymap . handle_input ( ) <TAB> <TAB> <TAB> <TAB> except EOFError : <TAB> <TAB> <TAB> <TAB> <TAB> if len ( buffer_left + buffer_right ) == 0 : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> return b"""" <TAB> <TAB> <TAB> <TAB> if eof : <TAB> <TAB> <TAB> <TAB> <TAB> return b"""" <TAB> <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> <TAB> buffer = buffer_left + buffer_right <TAB> <TAB> <TAB> <TAB> <TAB> if buffer : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> history . insert ( 0 , buffer ) <TAB> <TAB> <TAB> <TAB> <TAB> return force_to_bytes ( buffer ) + b""\n"" <TAB> <TAB> <TAB> except KeyboardInterrupt : <TAB> <TAB> <TAB> <TAB> control_c ( ) <TAB> finally : <TAB> <TAB> line = buffer_left + buffer_right + ""\n"" <TAB> <TAB> buffer_handle . update ( line ) <TAB> <TAB> buffer_handle . freeze ( ) <TAB> <TAB> buffer_handle = None <TAB> <TAB> if prompt_handle : <TAB> <TAB> <TAB> prompt_handle . freeze ( ) <TAB> <TAB> <TAB> prompt_handle = None <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> suggest_handle . freeze ( ) <TAB> <TAB> <TAB> suggest_handle = None <TAB> <TAB> if shutdown_hook : <TAB> <TAB> <TAB> shutdown_hook ( )",False,if suggest_handle :,___________________,0.0
"def process ( self ) : <TAB> """"""Process the request entity based on its Content-Type."""""" <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> h = cherrypy . serving . request . headers <TAB> if ""Content-Length"" not in h and ""Transfer-Encoding"" not in h : <TAB> <TAB> raise cherrypy . HTTPError ( 411 ) <TAB> self . fp = SizedReader ( <TAB> <TAB> self . fp , <TAB> <TAB> self . length , <TAB> <TAB> self . maxbytes , <TAB> <TAB> bufsize = self . bufsize , <TAB> <TAB> has_trailers = ""Trailer"" in h , <TAB> ) <TAB> super ( RequestBody , self ) . process ( ) <TAB> <TAB> <TAB> request_params = self . request_params <TAB> for key , value in self . params . items ( ) : <TAB> <TAB> <TAB> <TAB> if sys . version_info < ( 3 , 0 ) : <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> key = key . encode ( ""ISO-8859-1"" ) <TAB> <TAB> if key in request_params : <TAB> <TAB> <TAB> if not isinstance ( request_params [ key ] , list ) : <TAB> <TAB> <TAB> <TAB> request_params [ key ] = [ request_params [ key ] ] <TAB> <TAB> <TAB> request_params [ key ] . append ( value ) <TAB> <TAB> else : <TAB> <TAB> <TAB> request_params [ key ] = value",False,"if isinstance ( key , unicode ) :",___________________,0.0
"def read ( self , iprot ) : <TAB> if ( <TAB> <TAB> iprot . __class__ == TBinaryProtocol . TBinaryProtocolAccelerated <TAB> <TAB> and isinstance ( iprot . trans , TTransport . CReadableTransport ) <TAB> <TAB> and self . thrift_spec is not None <TAB> <TAB> and fastbinary is not None <TAB> ) : <TAB> <TAB> fastbinary . decode_binary ( self , iprot . trans , ( self . __class__ , self . thrift_spec ) ) <TAB> <TAB> return <TAB> iprot . readStructBegin ( ) <TAB> while True : <TAB> <TAB> ( fname , ftype , fid ) = iprot . readFieldBegin ( ) <TAB> <TAB> if ftype == TType . STOP : <TAB> <TAB> <TAB> break <TAB> <TAB> if fid == 1 : <TAB> <TAB> <TAB> if ftype == TType . STRING : <TAB> <TAB> <TAB> <TAB> self . dbname = iprot . readString ( ) <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> iprot . skip ( ftype ) <TAB> <TAB> elif fid == 2 : <TAB> <TAB> <TAB> if ftype == TType . STRING : <TAB> <TAB> <TAB> <TAB> self . name = iprot . readString ( ) <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> iprot . skip ( ftype ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> if ftype == TType . BOOL : <TAB> <TAB> <TAB> <TAB> self . deleteData = iprot . readBool ( ) <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> iprot . skip ( ftype ) <TAB> <TAB> else : <TAB> <TAB> <TAB> iprot . skip ( ftype ) <TAB> <TAB> iprot . readFieldEnd ( ) <TAB> iprot . readStructEnd ( )",False,elif fid == 3 :,___________________,0.0
"def _setup_layer ( self , trainable = False , ** kwargs ) : <TAB> """"""Constructs keras layer with relevant weights and losses."""""" <TAB> <TAB> super ( KerasLayer , self ) . __init__ ( trainable = trainable , ** kwargs ) <TAB> <TAB> if hasattr ( self . _func , ""trainable_variables"" ) : <TAB> <TAB> for v in self . _func . trainable_variables : <TAB> <TAB> <TAB> self . _add_existing_weight ( v , trainable = True ) <TAB> <TAB> trainable_variables = { id ( v ) for v in self . _func . trainable_variables } <TAB> else : <TAB> <TAB> trainable_variables = set ( ) <TAB> if hasattr ( self . _func , ""variables"" ) : <TAB> <TAB> for v in self . _func . variables : <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> self . _add_existing_weight ( v , trainable = False ) <TAB> <TAB> if hasattr ( self . _func , ""regularization_losses"" ) : <TAB> <TAB> for l in self . _func . regularization_losses : <TAB> <TAB> <TAB> if not callable ( l ) : <TAB> <TAB> <TAB> <TAB> raise ValueError ( <TAB> <TAB> <TAB> <TAB> <TAB> ""hub.KerasLayer(obj) expects obj.regularization_losses to be an "" <TAB> <TAB> <TAB> <TAB> <TAB> ""iterable of callables, each returning a scalar loss term."" <TAB> <TAB> <TAB> <TAB> ) <TAB> <TAB> <TAB> self . add_loss ( self . _call_loss_if_trainable ( l ) )",False,if id ( v ) not in trainable_variables :,___________________,0.0
"def bind ( self , sock , path ) : <TAB> <TAB> try : <TAB> <TAB> sock . bind ( path ) <TAB> except OSError as e : <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> self . skipTest ( <TAB> <TAB> <TAB> <TAB> ""Pathname {0!a} is too long to serve as a AF_UNIX path"" . format ( path ) <TAB> <TAB> <TAB> ) <TAB> <TAB> else : <TAB> <TAB> <TAB> raise",False,"if str ( e ) == ""AF_UNIX path too long"" :",___________________,0.0
"def findall ( self , s ) : <TAB> res = [ ] <TAB> start = 0 <TAB> while True : <TAB> <TAB> m = self . search ( s , start ) <TAB> <TAB> if not m : <TAB> <TAB> <TAB> return res <TAB> <TAB> if m . num == 1 : <TAB> <TAB> <TAB> res . append ( m . group ( 0 ) ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> res . append ( m . group ( 1 ) ) <TAB> <TAB> else : <TAB> <TAB> <TAB> res . append ( m . groups ( ) ) <TAB> <TAB> beg , end = m . span ( 0 ) <TAB> <TAB> start = end",False,elif m . num == 2 :,___________________,0.0
"def encode ( self ) : <TAB> e = self . expr <TAB> if e in self . reg_info . expr : <TAB> <TAB> self . parent . a_d . value = 0 <TAB> <TAB> self . value = self . reg_info . expr . index ( e ) <TAB> elif isinstance ( e , ExprMem ) : <TAB> <TAB> if isinstance ( e . ptr , ExprId ) : <TAB> <TAB> <TAB> r , i = e . ptr , ExprInt ( 0 , 16 ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> r , i = e . ptr . args [ 0 ] , e . ptr . args [ 1 ] <TAB> <TAB> elif isinstance ( e . ptr , ExprInt ) : <TAB> <TAB> <TAB> r , i = SR , e . ptr <TAB> <TAB> else : <TAB> <TAB> <TAB> raise NotImplementedError ( ""unknown instance e.arg = %s"" % type ( e . ptr ) ) <TAB> <TAB> self . parent . a_d . value = 1 <TAB> <TAB> self . value = self . reg_info . expr . index ( r ) <TAB> <TAB> self . parent . off_d . value = int ( i ) <TAB> else : <TAB> <TAB> raise NotImplementedError ( ""unknown instance e = %s"" % type ( e ) ) <TAB> return True",False,"elif isinstance ( e . ptr , ExprOp ) :",___________________,0.0
"def resolve_account ( self , account_name ) : <TAB> account = None <TAB> if isinstance ( account_name , ( int , float ) ) : <TAB> <TAB> acc_id = int ( account_name ) <TAB> <TAB> self . log . debug ( ""Treating account name as ID: %s"" , acc_id ) <TAB> <TAB> account = self . user . accounts ( ident = acc_id ) . first ( ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> raise TaurusConfigError ( ""BlazeMeter account not found by ID: %s"" % acc_id ) <TAB> elif account_name : <TAB> <TAB> account = self . user . accounts ( name = account_name ) . first ( ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> raise TaurusConfigError ( <TAB> <TAB> <TAB> <TAB> ""BlazeMeter account not found by name: %s"" % account_name <TAB> <TAB> <TAB> ) <TAB> if account : <TAB> <TAB> return account <TAB> self . user . fetch ( ) <TAB> account = self . user . accounts ( ident = self . user [ ""defaultProject"" ] [ ""accountId"" ] ) . first ( ) <TAB> self . log . debug ( ""Using default account: %s"" , account ) <TAB> return account",False,if not account :,___________________,0.0
